53977, 316.94, 961.39, 41.47
54051, 315.88, 961.46, 41.47
54125, 315.22, 961.52, 41.47
54200, 314.39, 961.65, 41.49
54275, 313.57, 961.74, 41.47
54349, 312.01, 961.88, 41.47
54424, 311.35, 962.00, 41.47
54499, 310.20, 962.16, 41.47
54578, 309.01, 962.33, 41.47
54652, 307.56, 962.43, 41.46
54727, 306.40, 962.57, 41.46
54802, 305.38, 962.72, 41.47
54877, 303.40, 962.90, 41.49
54951, 302.54, 963.04, 41.47
55026, 300.79, 963.22, 41.47
55101, 299.57, 963.40, 41.47
55175, 297.65, 963.53, 41.47
55249, 296.50, 963.77, 41.47
55324, 294.65, 963.96, 41.46
55399, 292.77, 964.16, 41.47
55474, 290.99, 964.38, 41.47
55548, 289.34, 964.57, 41.46
55623, 287.60, 964.79, 41.47
55698, 286.11, 965.00, 41.47
55777, 283.94, 965.20, 41.47
55852, 281.57, 965.48, 41.47
55925, 279.99, 965.75, 41.47
56000, 277.35, 965.92, 41.46
56075, 275.57, 966.17, 41.47
56150, 273.23, 966.44, 41.46
56224, 270.90, 966.70, 41.47
56299, 268.60, 967.00, 41.49
56374, 265.83, 967.27, 41.47
56449, 264.12, 967.52, 41.49
56523, 261.20, 967.81, 41.47
56598, 258.57, 968.35, 41.47
56672, 253.80, 968.55, 41.48
56747, 253.41, 968.72, 41.47
56821, 251.90, 968.93, 41.49
56896, 248.97, 969.20, 41.48
56971, 247.13, 969.57, 41.47
57050, 245.00, 969.60, 41.47
57124, 241.79, 969.98, 41.47
57199, 240.31, 970.09, 41.47
57274, 246.90, 969.00, 41.48
57349, 244.94, 969.71, 41.48
57423, 246.02, 967.77, 41.48
57498, 274.32, 966.93, 41.50
57573, 253.84, 969.43, 41.49
57647, 227.65, 972.47, 41.47
57721, 222.41, 971.74, 41.48
57796, 240.08, 969.73, 41.47
57871, 238.27, 970.73, 41.47
57946, 234.73, 970.86, 41.48
58020, 231.85, 971.42, 41.48
58095, 227.00, 971.58, 41.46
58170, 226.24, 972.28, 41.47
58249, 221.17, 973.11, 41.49
58323, 208.57, 974.27, 41.46
58398, 200.98, 974.85, 41.47
58473, 197.84, 975.17, 41.46
58547, 196.67, 975.26, 41.46
58621, 196.67, 975.15, 41.47
58696, 195.69, 975.25, 41.46
